timestamp1,txn_count,dataset
2015-08-07 00:00:00+00:00,2050,ethereum
2015-08-08 00:00:00+00:00,2881,ethereum
2015-08-09 00:00:00+00:00,1329,ethereum
2015-08-10 00:00:00+00:00,2037,ethereum
2015-08-11 00:00:00+00:00,4963,ethereum
2015-08-12 00:00:00+00:00,2036,ethereum
2015-08-13 00:00:00+00:00,2842,ethereum
2015-08-14 00:00:00+00:00,3174,ethereum
2015-08-15 00:00:00+00:00,2284,ethereum
2015-08-16 00:00:00+00:00,2440,ethereum
2015-08-17 00:00:00+00:00,2512,ethereum
2015-08-18 00:00:00+00:00,2494,ethereum
2015-08-19 00:00:00+00:00,3246,ethereum
2015-08-20 00:00:00+00:00,2303,ethereum
2015-08-21 00:00:00+00:00,3919,ethereum
2015-08-22 00:00:00+00:00,3579,ethereum
2015-08-23 00:00:00+00:00,4190,ethereum
2015-08-24 00:00:00+00:00,4432,ethereum
2015-08-25 00:00:00+00:00,4487,ethereum
2015-08-26 00:00:00+00:00,4156,ethereum
2015-08-27 00:00:00+00:00,5590,ethereum
2015-08-28 00:00:00+00:00,4758,ethereum
2015-08-29 00:00:00+00:00,4139,ethereum
2015-08-30 00:00:00+00:00,4572,ethereum
2015-08-31 00:00:00+00:00,5196,ethereum
2015-09-01 00:00:00+00:00,5153,ethereum
2015-09-02 00:00:00+00:00,5195,ethereum
2015-09-03 00:00:00+00:00,4777,ethereum
2015-09-04 00:00:00+00:00,5642,ethereum
2015-09-05 00:00:00+00:00,5519,ethereum
2015-09-06 00:00:00+00:00,5521,ethereum
2015-09-07 00:00:00+00:00,5702,ethereum
2015-09-08 00:00:00+00:00,5622,ethereum
2015-09-09 00:00:00+00:00,5604,ethereum
2015-09-10 00:00:00+00:00,5341,ethereum
2015-09-11 00:00:00+00:00,6460,ethereum
2015-09-12 00:00:00+00:00,5596,ethereum
2015-09-13 00:00:00+00:00,6057,ethereum
2015-09-14 00:00:00+00:00,5572,ethereum
2015-09-15 00:00:00+00:00,5409,ethereum
2015-09-16 00:00:00+00:00,5872,ethereum
2015-09-17 00:00:00+00:00,5368,ethereum
2015-09-18 00:00:00+00:00,5802,ethereum
2015-09-19 00:00:00+00:00,5205,ethereum
2015-09-20 00:00:00+00:00,6402,ethereum
2015-09-21 00:00:00+00:00,6305,ethereum
2015-09-22 00:00:00+00:00,6804,ethereum
2015-09-23 00:00:00+00:00,7404,ethereum
2015-09-24 00:00:00+00:00,6224,ethereum
2015-09-25 00:00:00+00:00,5851,ethereum
2015-09-26 00:00:00+00:00,5907,ethereum
2015-09-27 00:00:00+00:00,5760,ethereum
2015-09-28 00:00:00+00:00,6123,ethereum
2015-09-29 00:00:00+00:00,5738,ethereum
2015-09-30 00:00:00+00:00,5870,ethereum
2015-10-01 00:00:00+00:00,6421,ethereum
2015-10-02 00:00:00+00:00,6063,ethereum
2015-10-03 00:00:00+00:00,6112,ethereum
2015-10-04 00:00:00+00:00,6624,ethereum
2015-10-05 00:00:00+00:00,6279,ethereum
2015-10-06 00:00:00+00:00,6458,ethereum
2015-10-07 00:00:00+00:00,7121,ethereum
2015-10-08 00:00:00+00:00,6926,ethereum
2015-10-09 00:00:00+00:00,6763,ethereum
2015-10-10 00:00:00+00:00,6529,ethereum
2015-10-11 00:00:00+00:00,6023,ethereum
2015-10-12 00:00:00+00:00,6593,ethereum
2015-10-13 00:00:00+00:00,6818,ethereum
2015-10-14 00:00:00+00:00,6830,ethereum
2015-10-15 00:00:00+00:00,6499,ethereum
2015-10-16 00:00:00+00:00,6795,ethereum
2015-10-17 00:00:00+00:00,6567,ethereum
2015-10-18 00:00:00+00:00,6481,ethereum
2015-10-19 00:00:00+00:00,6604,ethereum
2015-10-20 00:00:00+00:00,5897,ethereum
2015-10-21 00:00:00+00:00,6182,ethereum
2015-10-22 00:00:00+00:00,5979,ethereum
2015-10-23 00:00:00+00:00,6888,ethereum
2015-10-24 00:00:00+00:00,6361,ethereum
2015-10-25 00:00:00+00:00,5830,ethereum
2015-10-26 00:00:00+00:00,5938,ethereum
2015-10-27 00:00:00+00:00,6784,ethereum
2015-10-28 00:00:00+00:00,7346,ethereum
2015-10-29 00:00:00+00:00,7836,ethereum
2015-10-30 00:00:00+00:00,7941,ethereum
2015-10-31 00:00:00+00:00,7557,ethereum
2015-11-01 00:00:00+00:00,6915,ethereum
2015-11-02 00:00:00+00:00,6558,ethereum
2015-11-03 00:00:00+00:00,7399,ethereum
2015-11-04 00:00:00+00:00,7037,ethereum
2015-11-05 00:00:00+00:00,7498,ethereum
2015-11-06 00:00:00+00:00,7882,ethereum
2015-11-07 00:00:00+00:00,10996,ethereum
2015-11-08 00:00:00+00:00,12413,ethereum
2015-11-09 00:00:00+00:00,7689,ethereum
2015-11-10 00:00:00+00:00,8151,ethereum
2015-11-11 00:00:00+00:00,10217,ethereum
2015-11-12 00:00:00+00:00,9534,ethereum
2015-11-13 00:00:00+00:00,7891,ethereum
2015-11-14 00:00:00+00:00,7211,ethereum
2015-11-15 00:00:00+00:00,7170,ethereum
